Source_genome,Source_chromosome,Chunk_size,Chunk_id,NZ_CP038663.1|1Deinococcus_radiodurans,NZ_CP038664.1|1Deinococcus_radiodurans,NZ_CP038665.1|1Deinococcus_radiodurans,NZ_CP038666.1|1Deinococcus_radiodurans,U00096.3|Escherichia_coli_ASM584v2,CP035288.1|GCA_006094375.1_ASM609437v1_genomic,CP035289.1|GCA_006094375.1_ASM609437v1_genomic,CP035290.1|GCA_006094375.1_ASM609437v1_genomic,NZ_CP055055.1|GCF_022354085.1_ASM2235408v1_genomic,NZ_CP055056.1|GCF_022354085.1_ASM2235408v1_genomic
1Deinococcus_radiodurans,NZ_CP038665.1,100,56,-618.6144765995618,-672.7786859679061,-620.614351783116,-1028.937160037991,-940.4936347474211,-3583.6130018578206,-5243.747992870275,-inf,-1981.5779443486479,-430.6186541447814
1Deinococcus_radiodurans,NZ_CP038665.1,100,57,-678.6506113837289,-313.33195263100794,-421.03434644006484,-676.6613391171945,-1175.1046288333137,-2127.372478510693,-inf,-inf,-493.6590910640078,-396.9335987298679
1Deinococcus_radiodurans,NZ_CP038665.1,100,58,-866.1351757398218,-462.2918597176138,-578.4674799088557,-740.8969501194065,-847.470949469588,-6879.443472765733,-inf,-inf,-856.152756810108,-982.1849413262603
1Deinococcus_radiodurans,NZ_CP038665.1,100,59,-1104.9933709528905,-1355.9735532008287,-532.4026546841742,-1671.6216709992505,-570.5487234117059,-1244.4399054431972,-3760.511411176361,-inf,-994.9633396761453,-848.1022277697043
1Deinococcus_radiodurans,NZ_CP038665.1,100,60,-1009.0018264643535,-1318.2858022068212,-514.4463376090143,-1784.6347253362599,-698.751650778674,-2820.5463269777038,-7844.333783800926,-60585.54287918618,-1629.2559594263091,-1611.8210867507728
1Deinococcus_radiodurans,NZ_CP038665.1,100,61,-652.2570775388035,-1073.156719395375,-556.9649320158723,-961.4882388543563,-836.0650845292912,-2283.4009463784023,-3009.9651369989647,-inf,-506.9266666804288,-1026.6212386359382
1Deinococcus_radiodurans,NZ_CP038665.1,100,62,-3822.6577893368426,-1167.300609293204,-1303.2455045099316,-784.6822401012382,-515.3375003086487,-804.861555531314,-677.8109070303337,-29416.789199720242,-647.6111675969553,-720.4584123828035
1Deinococcus_radiodurans,NZ_CP038665.1,100,63,-1057.0926775165935,-349.6534114574149,-353.0857875964799,-1540.124961434367,-693.7947748921683,-11520.91393295613,-inf,-inf,-982.3803201774858,-1645.4998498156951
1Deinococcus_radiodurans,NZ_CP038665.1,100,64,-718.835896462867,-698.3265261362726,-1046.4875463682054,-655.5431318151748,-1233.7111049364976,-2130.1758034448417,-inf,-inf,-2021.1757411466601,-333.37513971916275
1Deinococcus_radiodurans,NZ_CP038665.1,100,65,-377.87738124093164,-338.78338361094524,-542.2737971138744,-958.2300122070624,-818.114721040625,-2141.7584249945853,-5583.35058268,-inf,-911.6120105394452,-372.2795518379387
1Deinococcus_radiodurans,NZ_CP038665.1,100,66,-1175.5081959145264,-838.5054312074524,-751.9001483868783,-1000.5740484375684,-814.0077104354782,-inf,-2153.968739838214,-inf,-996.4438554890708,-896.1774578146819
1Deinococcus_radiodurans,NZ_CP038665.1,100,67,-1029.6747573552325,-455.6582874173401,-399.0461975128402,-857.7603012094179,-855.6180601217991,-3277.70533534206,-11686.581110209767,-inf,-1018.7690142050317,-621.9697902758112
1Deinococcus_radiodurans,NZ_CP038665.1,100,68,-1273.5728488973796,-955.4682275502939,-996.4330318167684,-1607.8526182958199,-1743.6360530907978,-2009.5569085125703,-11104.058066082189,-inf,-1036.602213232731,-884.2718995370499
1Deinococcus_radiodurans,NZ_CP038665.1,100,69,-934.2288760814658,-404.50648202426794,-580.2560181471769,-3655.4054335311453,-1124.758273766884,-6732.738302895273,-inf,-inf,-2268.2357215348597,-1812.0238333309749
1Deinococcus_radiodurans,NZ_CP038665.1,100,70,-1049.7497627951207,-661.9756001890521,-409.6837121818786,-646.3247064195897,-394.9404217545457,-5521.354601296813,-inf,-inf,-910.7074663768065,-744.324381626757
1Deinococcus_radiodurans,NZ_CP038665.1,100,71,-894.5015814585328,-1073.9484123607106,-780.9544377932033,-852.7859513190658,-1770.430997789219,-4025.9933461265337,-inf,-inf,-621.998950837559,-1038.4905704055764
1Deinococcus_radiodurans,NZ_CP038665.1,100,72,-1273.5574171981107,-737.1281989208583,-615.4997322069398,-727.1644582414774,-831.947302744041,-7882.792451058803,-inf,-inf,-1101.3212081874178,-1297.8740033919937
1Deinococcus_radiodurans,NZ_CP038665.1,100,73,-2113.0947454274856,-675.7988512207942,-946.083516018634,-620.959682675902,-586.4342511203315,-2896.9269166120207,-7148.8317764059975,-13132.647866761694,-480.4493806563905,-396.4535147002706
1Deinococcus_radiodurans,NZ_CP038665.1,100,74,-400.01411121981994,-394.2319173028838,-440.64152989017066,-2712.143679317978,-503.5727416419723,-7995.109482787003,-inf,-inf,-1005.7272534041269,-869.8020684503017
1Deinococcus_radiodurans,NZ_CP038665.1,100,75,-937.6867555873902,-1581.3300418174713,-803.0625132492185,-1842.1015273780722,-411.02775914177244,-2013.7260519432386,-2368.2361496408457,-21318.734286750194,-311.8362421785152,-1458.869447851448
1Deinococcus_radiodurans,NZ_CP038665.1,100,76,-1725.2140985351825,-inf,-1204.9424490704264,-642.2632677034263,-655.3675641072891,-800.8364051010983,-5005.414774717481,-inf,-529.9177615871793,-689.4019230340682
1Deinococcus_radiodurans,NZ_CP038665.1,100,77,-1800.387475745316,-389.39205002234104,-745.4952045156562,-623.1347440756292,-870.5990499642862,-6729.060063481098,-18607.749263717906,-inf,-474.3558291075696,-644.41606469882
1Deinococcus_radiodurans,NZ_CP038665.1,100,78,-1153.8404866044225,-862.8279924238159,-1186.2832292864355,-723.7250815902152,-1173.3441078704589,-3005.3846761229543,-inf,-inf,-1348.6498306277433,-1659.7948686092816
1Deinococcus_radiodurans,NZ_CP038665.1,100,79,-3103.179532364311,-1131.0585392627713,-369.791988160978,-903.187148398452,-973.9844337990369,-10689.782759284853,-inf,-inf,-578.9037097920057,-867.7857642390882
1Deinococcus_radiodurans,NZ_CP038665.1,100,80,-1095.5814988835546,-863.5240525967124,-785.8104300769437,-462.81526996448474,-637.9186775161229,-inf,-inf,-inf,-766.044805078579,-277.80687449219323
1Deinococcus_radiodurans,NZ_CP038665.1,100,81,-5456.966218834737,-1373.73488786487,-1352.1053400369626,-1778.7547197672975,-649.8263800856389,-4123.951838023068,-3246.8333592486397,-inf,-1284.0806980180832,-662.8487171723646
1Deinococcus_radiodurans,NZ_CP038665.1,100,82,-579.4240372212,-500.6591747733383,-464.61351702959837,-714.7633143978809,-665.19142001421,-1621.1400151544165,-inf,-inf,-350.93164862508615,-895.3521744329391
1Deinococcus_radiodurans,NZ_CP038665.1,100,83,-1025.2287698999762,-465.6539515355473,-222.3479325823001,-1327.8123818991148,-1114.0608364291154,-2765.940064356573,-inf,-inf,-627.6187026675564,-515.0131529149103
1Deinococcus_radiodurans,NZ_CP038665.1,100,84,-3805.4189948323324,-1924.7248848184158,-1668.0437659798054,-1045.2786298629676,-1538.9611337396689,-1231.3576956605257,-10086.854378561615,-29691.37323723365,-1097.9223101879288,-726.2206436939982
1Deinococcus_radiodurans,NZ_CP038665.1,100,85,-1294.7896751403673,-374.1497504998992,-287.3927324419167,-676.4343304816299,-470.155844188857,-2975.5710350354975,-inf,-inf,-675.5269146994551,-1086.9907291854054
1Deinococcus_radiodurans,NZ_CP038665.1,100,86,-880.4600121883186,-634.4792852371847,-662.0907385323862,-717.7461596057835,-684.0477798097261,-4702.247919991908,-inf,-inf,-1486.8828030585105,-1774.2253407465378
1Deinococcus_radiodurans,NZ_CP038665.1,100,87,-357.2493736014896,-431.5792767445411,-600.1419491987054,-1515.9648990057842,-796.481204535396,-4512.3149374436025,-inf,-inf,-655.1578749076682,-868.8750310506173
1Deinococcus_radiodurans,NZ_CP038665.1,100,88,-755.3036918094066,-519.6193163340724,-603.0756600548533,-1052.3360893040624,-902.010536571709,-5295.32687952412,-65636.93890277203,-162395.88757029505,-1318.1002473352712,-1096.7266405816697
1Deinococcus_radiodurans,NZ_CP038665.1,100,89,-482.5652289281586,-1574.3319003089077,-801.0258735477302,-1150.856985614339,-806.179625694037,-1977.6161019191975,-2765.7814582735105,-22764.84543221935,-655.2739682905672,-237.81536205685512
1Deinococcus_radiodurans,NZ_CP038665.1,100,90,-2763.1435376625864,-956.1748235917701,-697.7511339037177,-803.7586498234703,-581.3764948226358,-3452.640719094371,-inf,-inf,-805.6914908935789,-882.9567941636751
1Deinococcus_radiodurans,NZ_CP038665.1,100,91,-902.5449772951557,-1120.5062202199845,-569.1929508887694,-710.2241818332141,-907.4348738160679,-1946.911796880094,-3388.118055794693,-inf,-424.1769998976496,-754.2780180677789
1Deinococcus_radiodurans,NZ_CP038665.1,100,92,-1160.9892958315359,-644.7776823368342,-702.6698712686853,-1080.322873147538,-1475.6689382563777,-13852.47868608809,-inf,-inf,-1390.7587056455448,-1121.660236678026
1Deinococcus_radiodurans,NZ_CP038665.1,100,93,-1037.6667309792192,-791.5042246502928,-582.8056514241842,-543.8326752882816,-1519.7461479619485,-1930.5949185376367,-inf,-inf,-676.6093277417849,-1063.1407040817583
1Deinococcus_radiodurans,NZ_CP038665.1,100,94,-739.4539909783557,-1906.0693175633921,-367.82501322042117,-534.3728556281694,-880.1780158091042,-2551.42999608454,-10133.08908673854,-13847.518175820496,-1404.695093016814,-836.2625070580793
1Deinococcus_radiodurans,NZ_CP038665.1,100,95,-1412.1712212635662,-835.142038933514,-995.8119975864103,-2375.318207323882,-2032.634093173932,-inf,-30578.04413490085,-inf,-2216.0055680298547,-322.46264171116553
1Deinococcus_radiodurans,NZ_CP038665.1,100,96,-641.9879982257365,-678.6992311280917,-693.1904088219264,-769.8643721460721,-712.524408711889,-4596.876048193631,-6097.104377495659,-inf,-1760.3893784477639,-1868.7432684852383
1Deinococcus_radiodurans,NZ_CP038665.1,100,97,-1278.4486966205304,-1624.3087587356536,-704.6486347045466,-1796.7386848196145,-1127.2682528691178,-1192.9974957882278,-3550.865663810578,-inf,-1478.2676646107457,-1244.3335568359826
1Deinococcus_radiodurans,NZ_CP038665.1,100,98,-1002.0795915399386,-817.0520374887151,-1528.5769522968742,-995.0520819798077,-1281.7497894256778,-6912.203559557755,-inf,-inf,-849.3589395202291,-2022.3319948956103
1Deinococcus_radiodurans,NZ_CP038665.1,100,99,-1713.7375879273263,-751.4017875001093,-539.6649118584895,-623.0152647781773,-932.7666988731933,-5538.373947494054,-8629.125971971302,-inf,-1277.8891970455416,-1042.3072248693595
1Deinococcus_radiodurans,NZ_CP038665.1,200,0,-1385.5342510960859,-433.0465979532285,-863.8140897307192,-478.3745282563733,-881.8193124176264,-2808.058960059541,-inf,-inf,-721.76132948636,-871.5792598047274
1Deinococcus_radiodurans,NZ_CP038665.1,200,1,-544.1239507186284,-648.5724800007495,-633.0234996661159,-2924.6553699150168,-546.2162566853457,-2547.2714077378714,-10932.460875258363,-inf,-335.90189689648025,-408.42203141186747
1Deinococcus_radiodurans,NZ_CP038665.1,200,2,-1160.0148249961233,-801.4824355598535,-699.0542753897961,-2662.1893785158313,-1065.2175260062215,-4534.64091145234,-34467.594773176235,-inf,-1241.757726871496,-867.811544365887
1Deinococcus_radiodurans,NZ_CP038665.1,200,3,-2893.603298330534,-1464.0499579546079,-595.7630640290378,-758.5950061178122,-585.2749720197619,-2599.2916685850914,-33464.1138277136,-inf,-839.572984440832,-979.7750911852274
1Deinococcus_radiodurans,NZ_CP038665.1,200,4,-625.8425518514363,-924.6712865803383,-443.5531039710961,-1007.098942437898,-1583.3634934185332,-1183.7567902117623,-4585.711723927812,-inf,-455.34086821855817,-1061.2462742000237
1Deinococcus_radiodurans,NZ_CP038665.1,200,5,-1438.1100777548713,-2019.1584326591774,-716.6861146159921,-877.2545232714136,-494.16753432348355,-5199.44430846403,-20738.28838503583,-inf,-1385.7962419999421,-2254.1619433035803
1Deinococcus_radiodurans,NZ_CP038665.1,200,6,-1616.033814561058,-1119.5911521968985,-763.429234467537,-458.48120107454207,-646.7251464201606,-3791.547577393661,-23373.92450744856,-inf,-1195.426789859582,-1124.1382777089498
1Deinococcus_radiodurans,NZ_CP038665.1,200,7,-667.6565283998522,-329.7898429981129,-306.19432747010916,-741.1382316371651,-790.9451860652109,-6491.267830707369,-inf,-inf,-682.0901256933756,-769.8097414469753
1Deinococcus_radiodurans,NZ_CP038665.1,200,8,-1884.598106429898,-671.0361526536065,-514.5327679371751,-665.1842646896583,-891.2534664604716,-4059.613380239051,-36544.16681027425,-inf,-497.1101476016363,-946.2226315702716
1Deinococcus_radiodurans,NZ_CP038665.1,200,9,-1140.709476212848,-552.0659040361957,-470.32499101492425,-1097.6668530395261,-713.8687515137323,-4303.37681521742,-108410.94870805526,-inf,-403.48638710298565,-707.7191118512852
1Deinococcus_radiodurans,NZ_CP038665.1,200,10,-1967.317812646806,-985.772020099869,-611.0337861983422,-1061.7498366758084,-1273.4010277802306,-4918.560549871353,-29638.944758264213,-inf,-722.0921105417195,-1485.905986132667
1Deinococcus_radiodurans,NZ_CP038665.1,200,11,-826.0541192291988,-779.7260023153344,-831.9458808734275,-2657.3981624574685,-1166.003619135634,-5089.093996901933,-inf,-inf,-1047.4485595083336,-1078.4483637545209
1Deinococcus_radiodurans,NZ_CP038665.1,200,12,-346.4049676687358,-488.1299011918428,-533.8215857927139,-1154.7394971027043,-1184.5193292245342,-3729.5559598872815,-66891.11510542704,-inf,-670.3494924730705,-928.8668023143505
1Deinococcus_radiodurans,NZ_CP038665.1,200,13,-722.9843434123586,-689.6776844840485,-385.23510084677287,-1690.840492834906,-529.0421023742746,-5374.9709245038175,-57794.82871268029,-inf,-1061.4562404351284,-1214.4791324978974
1Deinococcus_radiodurans,NZ_CP038665.1,200,14,-764.3991601191951,-926.171817644723,-798.480885569206,-1637.5634012643527,-544.4187724529609,-4170.861834520226,-inf,-inf,-520.9720892272303,-701.7168046348046
1Deinococcus_radiodurans,NZ_CP038665.1,200,15,-352.9798093797838,-519.4094035044918,-303.281762592119,-962.0096853870151,-1243.7366377203907,-3951.388307791741,-27127.915924670153,-inf,-861.5777557409149,-621.6468157564608
1Deinococcus_radiodurans,NZ_CP038665.1,200,16,-725.997308507748,-1129.1023391645313,-957.288500598126,-1875.0242757324866,-1034.22101652549,-3625.7209122335707,-inf,-inf,-1135.5907410152583,-2462.309667183593
1Deinococcus_radiodurans,NZ_CP038665.1,200,17,-486.8161703832926,-369.6612638761254,-641.5180781823518,-745.9164261334014,-754.2705136425524,-2962.057810374983,-12652.008914796743,-inf,-1281.8655921283519,-1769.1349668596692
